date,prc,ticker
2024-08-20,226.50999,AAPL
2024-08-21,226.39999,AAPL
2024-08-22,224.53,AAPL
2024-08-23,226.84,AAPL
2024-08-26,227.17999,AAPL
2024-08-27,228.03,AAPL
2024-08-28,226.49001,AAPL
2024-08-29,229.78999,AAPL
2024-08-30,229.0,AAPL
2024-09-03,222.77,AAPL
2024-09-04,220.85001,AAPL
2024-09-05,222.38,AAPL
2024-09-06,220.82001,AAPL
2024-09-09,220.91,AAPL
2024-09-10,220.11,AAPL
2024-09-11,222.66,AAPL
2024-09-12,222.77,AAPL
2024-09-13,222.5,AAPL
2024-09-16,216.32001,AAPL
2024-09-17,216.78999,AAPL
2024-09-18,220.69,AAPL
2024-09-19,228.87,AAPL
2024-09-20,228.2,AAPL
2024-09-23,226.47,AAPL
2024-09-24,227.37,AAPL
2024-09-25,226.37,AAPL
2024-09-26,227.52,AAPL
2024-09-27,227.78999,AAPL
2024-09-30,233.0,AAPL
2024-10-01,226.21001,AAPL
2024-10-02,226.78,AAPL
2024-10-03,225.67,AAPL
2024-10-04,226.8,AAPL
2024-10-07,221.69,AAPL
2024-10-08,225.77,AAPL
2024-10-09,229.53999,AAPL
2024-10-10,229.03999,AAPL
2024-10-11,227.55,AAPL
2024-10-14,231.3,AAPL
2024-10-15,233.85001,AAPL
2024-10-16,231.78,AAPL
2024-10-17,232.14999,AAPL
2024-10-18,235.0,AAPL
2024-10-21,236.48,AAPL
2024-10-22,235.86,AAPL
2024-10-23,230.75999,AAPL
2024-10-24,230.57001,AAPL
2024-10-25,231.41,AAPL
2024-10-28,233.39999,AAPL
2024-10-29,233.67,AAPL
2024-10-30,230.10001,AAPL
2024-10-31,225.91,AAPL
2024-11-01,222.91,AAPL
2024-11-04,222.00999,AAPL
2024-11-05,223.45,AAPL
2024-11-06,222.72,AAPL
2024-11-07,227.48,AAPL
2024-11-08,226.96001,AAPL
2024-11-11,224.23,AAPL
2024-11-12,224.23,AAPL
2024-11-13,225.12,AAPL
2024-11-14,228.22,AAPL
2024-11-15,225.0,AAPL
2024-11-18,228.02,AAPL
2024-11-19,228.28,AAPL
2024-11-20,229.0,AAPL
2024-11-21,228.52,AAPL
2024-11-22,229.87,AAPL
2024-11-25,232.87,AAPL
2024-11-26,235.06,AAPL
2024-11-27,234.92999,AAPL
2024-11-29,237.33,AAPL
2024-12-02,239.59,AAPL
2024-12-03,242.64999,AAPL
2024-12-04,243.00999,AAPL
2024-12-05,243.03999,AAPL
2024-12-06,242.84,AAPL
2024-12-09,246.75,AAPL
2024-12-10,247.77,AAPL
2024-12-11,246.49001,AAPL
2024-12-12,247.96001,AAPL
2024-12-13,248.13,AAPL
2024-12-16,251.03999,AAPL
2024-12-17,253.48,AAPL
2024-12-18,248.05,AAPL
2024-12-19,249.78999,AAPL
2024-12-20,254.49001,AAPL
2024-12-23,255.27,AAPL
2024-12-24,258.20001,AAPL
2024-12-26,259.01999,AAPL
2024-12-27,255.59,AAPL
2024-12-30,252.2,AAPL
2024-12-31,250.42,AAPL
2024-04-25,399.04001,MSFT
2024-04-26,406.32001,MSFT
2024-04-29,402.25,MSFT
2024-04-30,389.32999,MSFT
2024-05-01,394.94,MSFT
2024-05-02,397.84,MSFT
2024-05-03,406.66,MSFT
2024-05-06,413.54001,MSFT
2024-05-07,409.34,MSFT
2024-05-08,410.54001,MSFT
2024-05-09,412.32001,MSFT
2024-05-10,414.73999,MSFT
2024-05-13,413.72,MSFT
2024-05-14,416.56,MSFT
2024-05-15,423.07999,MSFT
2024-05-16,420.98999,MSFT
2024-05-17,420.20999,MSFT
2024-05-20,425.34,MSFT
2024-05-21,429.04001,MSFT
2024-05-22,430.51999,MSFT
2024-05-23,427.0,MSFT
